id,packet_id,type,label,url,content,order,created_at
66bf27e3-49ae-48ff-8ad9-b86374d6a36d,73967b18-c928-4fb0-9ee7-92e8606e2cee,link,View the property on our website!,https://stewartandjane.com/1601-w-17th-street-bryan/,,4,2025-12-05 17:23:48.055463+00
67a470e9-08a9-4cc4-aa24-96a022bb2620,d98718ec-e99d-4790-a3e9-f78b2a8409e2,file,MLS Listing,https://nmkumbqfakufzqajccsn.supabase.co/storage/v1/object/public/packet-assets/d98718ec-e99d-4790-a3e9-f78b2a8409e2/0.09320441046786998.pdf,,3,2025-12-05 17:03:40.537126+00
78fb1602-9457-40f9-9226-68426361f98f,a9133bd4-8bc3-455a-aeaf-61cf0aa66db9,file,Offer Instructions,https://nmkumbqfakufzqajccsn.supabase.co/storage/v1/object/public/packet-assets/a9133bd4-8bc3-455a-aeaf-61cf0aa66db9/0.4829040419987225.pdf,,0,2025-12-05 17:43:09.123465+00
7a6a9c43-f84a-49d9-9791-50f0717db771,a4534603-72d0-4f6b-831b-c045ec953d7e,file,MLS Listing,,,0,2025-12-08 22:15:03.931451+00
7c8c4417-9e90-46bc-a179-f5e62267c6f7,a4534603-72d0-4f6b-831b-c045ec953d7e,text,What the landlord loves about the property!,,"• Lower than average $/sqft
• 3 Bed 2 Bath with flex area's
• Large backyard, with outside seating area
• Marble countertops
• Bathing tub in master bathroom",1,2025-12-08 22:15:03.931451+00
809b963a-34ef-4541-80a7-85c4a398848b,5fc4b4e6-5cd2-41a1-85aa-340f975b2d9f,file,MLS Listing,,,1,2025-12-23 17:15:26.702648+00
8152e68a-425f-491e-8d02-90501f1980c1,33adc5c1-5a43-400b-834f-056c9c711ba7,link,View the full listing on our website!,https://listings.stewartandjane.com/p/2862-messenger-way,,2,2025-12-09 19:21:22.718822+00
85e3299a-9613-44cd-8c7c-eb3e8073205a,3b612947-10a1-478c-81ab-a723687d0edd,text,What our seller's love about this house! 😍,,"• Practically new
• Flawless interior paint
• Quiet neighborhood
• Granite counter-tops
• Carpet and vinyl floors
• Affordable HOA fees for common area maintenance",4,2025-12-03 15:40:07.949768+00
8695b3b2-4056-4d3b-912c-0ed8afe5b148,5fc4b4e6-5cd2-41a1-85aa-340f975b2d9f,file,Offer Instructions,https://nmkumbqfakufzqajccsn.supabase.co/storage/v1/object/public/packet-assets/5fc4b4e6-5cd2-41a1-85aa-340f975b2d9f/0.38920474829736385.pdf,,0,2025-12-23 17:15:26.702648+00
8933aa03-672a-4402-b267-f35c1099d12f,5f2293e9-88f9-4df0-99be-a394689dbe5c,file,Home Upgrades,https://nmkumbqfakufzqajccsn.supabase.co/storage/v1/object/public/packet-assets/5f2293e9-88f9-4df0-99be-a394689dbe5c/0.11208468881196154.pdf,,6,2025-12-05 17:51:07.681185+00
8a782ef0-2042-43d5-b92e-8f7b214de775,73967b18-c928-4fb0-9ee7-92e8606e2cee,file,Seller's Disclosure,https://nmkumbqfakufzqajccsn.supabase.co/storage/v1/object/public/packet-assets/73967b18-c928-4fb0-9ee7-92e8606e2cee/0.7677410644626776.pdf,,2,2025-12-05 17:23:48.055463+00
97023c8d-d6b3-4c61-980c-0f34ab81d89f,80ebf2b3-7f79-4ac1-a0ec-4b7d15f311e8,file,Condo Addendum,https://nmkumbqfakufzqajccsn.supabase.co/storage/v1/object/public/packet-assets/80ebf2b3-7f79-4ac1-a0ec-4b7d15f311e8/0.6716912989514072.pdf,,1,2025-12-05 16:56:28.646345+00
97b99ff3-d6d6-432b-8c90-ac81b06f5372,334ad42e-759f-41df-aa5b-4b1668670603,text,What Our Client Loves About this Home! 😍,,"Massive garage lined with peg board/built-in shelving and an extra area for storage or handy-work
Office space near the front of the house
Lots of windows and natural light features including a skylit soaking tub in the master bath
Generous patio space for outdoor seating that is south facing to avoid harsh afternoon light
Cornering the golf course provides privacy and ease of access to the amenity
Stainless steel appliances and a built-in ice-maker",3,2025-12-09 20:16:29.197069+00
9985e453-bbce-4fb7-a359-d7b6e3942456,334ad42e-759f-41df-aa5b-4b1668670603,file,Seller's Disclosure Notice,https://nmkumbqfakufzqajccsn.supabase.co/storage/v1/object/public/packet-assets/334ad42e-759f-41df-aa5b-4b1668670603/0.29948957840682067.pdf,,1,2025-12-09 20:16:29.197069+00
a11ae7fc-49f1-4802-bb5b-ba2c837ed994,d98718ec-e99d-4790-a3e9-f78b2a8409e2,link,View the property on our website!,https://stewartandjane.com/4720-shoal-creek-drive-college-station/,,4,2025-12-05 17:03:40.537126+00
a32086a6-6f7b-48ed-8f5f-5ba0073f4a9f,33adc5c1-5a43-400b-834f-056c9c711ba7,link,Rental Application Link,https://apply.link/BwyF2fg,,4,2025-12-09 19:21:22.718822+00
a5fbe15a-1bb1-4d31-a65e-5217cf6ed44a,80ebf2b3-7f79-4ac1-a0ec-4b7d15f311e8,file,Offer Instructions,https://nmkumbqfakufzqajccsn.supabase.co/storage/v1/object/public/packet-assets/80ebf2b3-7f79-4ac1-a0ec-4b7d15f311e8/0.6664608505826319.pdf,,0,2025-12-05 16:56:28.646345+00
a637c934-cc2f-4e6a-b951-8250fa91e95c,334ad42e-759f-41df-aa5b-4b1668670603,link,View the full property details on our website!,https://stewartandjane.com/4703-saint-andrews-drive-college-station/,,0,2025-12-09 20:16:29.197069+00
a871ef03-2624-4a46-bed9-8aa4a9f22fc8,3b612947-10a1-478c-81ab-a723687d0edd,file,Affiliated Business Disclosure,https://nmkumbqfakufzqajccsn.supabase.co/storage/v1/object/public/packet-assets/3b612947-10a1-478c-81ab-a723687d0edd/0.19145806706491286.pdf,,0,2025-12-03 15:40:07.949768+00
acaecddd-3421-4e14-972c-52008a46c528,334ad42e-759f-41df-aa5b-4b1668670603,file,Offer Instructions,https://nmkumbqfakufzqajccsn.supabase.co/storage/v1/object/public/packet-assets/334ad42e-759f-41df-aa5b-4b1668670603/0.9025920035984238.pdf,,2,2025-12-09 20:16:29.197069+00
b890b91b-ac18-4952-bcc0-14d2f30840ac,80ebf2b3-7f79-4ac1-a0ec-4b7d15f311e8,link,View the property on our website!,https://stewartandjane.com/1725-harvey-mitchell-parkway-s-unit-1424-college-station/,,3,2025-12-05 16:56:28.646345+00
